37,3245,260,3,0,0,0,0,0,0
1811,2903,40,77,0,0,0,0,0,0
385,2210,224,0,0,0,0,0,0,0
526,1794,125,4,0,0,0,0,0,0
3687,2918,420,9,3,0,0,0,0,0
3802,2099,224,0,3,0,0,0,0,0
1966,2429,274,6,7,0,0,0,0,0
2658,8316,371,214,33,33,8,3,0,4
393,1858,764,41,61,40,25,0,3,9
3020,1003,340,228,241,35,49,3,6,3
5640,3672,600,163,24,19,20,0,0,0
7144,1924,252,96,24,13,7,0,0,0
512,1178,38,47,7,5,0,0,0,0
7899,25551,646,441,100,128,16,13,3,3
7464,22688,790,295,206,61,30,11,5,3
5036,15347,728,230,182,42,19,4,10,6
20450,12232,1135,510,69,37,17,3,3,0
13164,11772,890,471,119,40,31,7,6,3
3323,12265,503,222,48,29,11,4,4,0
11681,20637,806,560,102,114,12,10,4,4
7237,17989,6588,454,190,88,38,9,7,6
4914,8002,5754,176,193,69,48,9,9,0
21046,10316,664,349,60,19,12,3,0,0
18465,16975,828,336,83,26,13,5,3,0
11041,1058,417,165,38,21,10,10,4,0
3496,397,170,46,11,11,15,5,5,0
12361,7256,321,426,152,232,140,157,19,33
11993,2428,92,3,0,12,30,0,0,0
11386,160,124,39,175,120,52,14,9,6
21104,1143,337,647,82,276,245,41,0,3
12246,1546,356,4,3,11,29,56,0,0
1516,207,58,7,9,0,0,0,0,0
7700,6063,246,256,75,123,72,71,4,0
17284,1709,118,4,0,7,25,6,0,0
10144,355,206,22,76,141,87,23,11,11
22733,1847,534,44,68,185,150,25,0,11
10750,649,121,602,158,169,79,57,0,0
2892,252,126,24,5,3,3,0,0,0
19479,942,333,72,422,241,270,162,23,26
20427,3267,2228,332,98,332,351,42,4,3
8184,5947,871,438,258,49,249,5,3,0
34163,5156,1409,551,876,325,247,67,3,3
9507,16520,3287,298,50,527,352,88,0,0
11106,15856,628,321,163,277,325,27,16,8
14791,7881,33332,149,329,379,1450,832,624,341
19697,5569,653,267,145,208,132,21,12,29
13969,1090,344,415,625,147,112,26,7,6
27316,3966,1381,435,103,403,196,18,18,52
14958,5142,876,595,217,866,503,109,0,0
15760,1032,324,49,20,69,77,30,0,0
46089,3039,494,1791,398,480,270,115,51,43
23704,26859,2569,2315,1368,2425,1352,260,20,26
54470,5216,789,508,2648,485,537,138,68,53
109739,11326,2179,2129,372,518,480,268,59,26
72629,22322,2656,2634,877,1525,1180,404,111,107
62764,8855,1070,2362,1897,891,2006,1441,374,693
68977,14666,1499,157,164,290,255,80,73,27
43245,18951,2933,1026,416,834,1997,753,375,387
33196,12660,2390,1240,726,314,290,63,80,105
71735,2287,901,829,2468,505,805,109,56,28
91812,20790,8377,1354,516,788,334,127,58,53
109422,17019,3380,854,420,1124,590,169,82,45
91841,3717,1244,1614,733,499,564,142,97,96
101225,2166,862,1870,711,232,217,81,39,32
77796,3044,1575,943,803,266,302,145,83,55
75758,16931,6897,1569,2315,1970,2051,104,33,27
60532,32490,22351,692,447,2226,1882,99,64,41
66278,23681,5358,1366,915,1493,1018,174,72,51
89559,7516,2370,5363,3287,575,1278,148,107,89
114113,8010,1793,6136,4490,664,369,115,86,78
115716,11319,4104,5099,6525,1523,590,171,147,123
98055,11048,6242,5632,6036,1119,476,230,184,198
49762,5143,1590,839,420,688,215,187,141,87
45426,5026,2004,1198,551,1274,314,140,120,77
81411,6068,6743,6728,11217,3430,2882,601,400,354
66676,20411,16904,9013,8139,7949,3473,461,326,290
86903,26877,15494,5246,1706,4872,2223,320,229,172
91793,22988,8237,7003,2714,1982,1810,1762,1308,1170
95967,16207,5593,6158,5309,1543,1629,504,263,191
103725,8685,3308,4802,5772,1267,1162,335,249,202
103243,7924,3926,6053,12281,2153,2279,392,309,228
82780,14337,13874,15093,5137,8451,3617,407,255,243
104274,26768,18759,4559,1999,4987,2162,339,217,152
85963,15109,4779,8700,6084,2223,1183,296,207,194
113579,22475,6651,3998,2584,1300,917,415,317,247
79322,19117,6986,6146,2194,1625,816,342,228,264
89872,19765,11150,8052,3734,2359,1523,533,523,329
74150,13724,11515,16349,8083,6383,3103,453,358,267
75626,24597,27594,9504,3452,6770,3147,328,224,210
90650,21324,11502,15690,3299,3816,2593,371,261,211
84640,26386,8383,28582,3045,10355,3727,317,261,177
86903,27768,6259,7914,4175,3076,804,350,220,159
89410,26002,14690,24665,2865,5133,1745,322,256,153
86848,32815,15402,14070,3398,3561,1348,265,187,143
85760,10366,9780,5437,5203,1708,5127,316,222,222
105343,11010,10654,5936,4534,3349,2397,344,196,186
112467,12313,5963,10807,11923,5258,5923,1303,884,720
69942,18683,19566,12553,4465,7498,8095,446,194,171
45451,31210,25321,4057,1486,15353,7934,155,76,160
57017,42662,3826,2179,1115,3010,1467,656,466,370
78265,34547,2611,1801,900,722,340,278,282,213
74077,35388,2537,1785,909,616,314,195,269,149
113588,23470,2511,1885,686,488,218,200,180,101
74875,32284,2954,2097,1157,667,337,239,217,160
72029,29806,2407,2029,905,688,312,224,248,150
57026,40065,2985,2618,1241,1041,611,308,329,187
70543,41388,12861,3158,1665,823,502,362,295,212
97776,13753,22466,1635,1580,509,553,197,236,163
2693,880,276,157,49,48,27,14,10,9
5126,739,350,334,70,41,16,6,7,5
572,376,180,115,52,14,18,5,0,3
54611,311,433,103,71,74,136,72,49,26
75048,9161,1166,1457,880,635,635,368,101,85
122977,2916,614,224,537,174,210,66,31,22
69604,2219,848,800,682,559,1568,1409,1110,1104
104865,2464,1318,493,1037,426,471,183,159,99
94595,2595,1222,626,3146,504,685,202,61,57
66464,2161,1132,910,517,288,162,167,135,97
52697,10734,961,1590,388,688,318,219,67,52
128167,4495,900,435,714,474,384,125,64,41
57932,2921,1093,434,331,184,194,141,109,64
84280,6617,1367,565,380,481,404,97,70,49
72064,4895,5391,490,207,199,246,95,36,27
61510,9788,1659,812,401,360,296,266,202,154
68059,3118,1018,906,364,398,303,220,184,231
138945,8925,1933,635,283,536,274,144,98,74
59249,4158,1356,695,377,230,271,142,95,72
148246,1706,715,555,4423,959,3389,860,607,726
69810,19673,2033,2620,1104,728,689,179,71,43
67851,15509,14239,8305,1533,2700,1229,245,109,69
95004,3438,1174,1791,30302,1335,1866,1853,1590,1440
76356,20947,2367,789,987,637,472,162,63,59
71996,8276,1797,1025,781,272,345,190,141,125
113266,8778,2462,2329,1316,1062,2551,910,555,698
77622,7206,1838,1305,542,528,340,133,92,58
61694,2070,565,446,83,52,20,7,5,5
131335,7090,1623,824,380,240,303,122,61,43
89322,22542,4525,755,301,1236,708,164,85,65
89298,12984,3237,1135,779,495,525,137,101,100
111236,9578,3536,1217,1026,402,435,180,73,44
92173,24038,4751,2049,651,1437,819,163,101,99
82165,17849,3512,2107,4742,1635,815,191,121,91
